Date,Actual,LSTM_Predicted,ARIMA_Predicted
2024-01-02,365.4216003417969,363.2839,370.5792866216586
2024-01-05,362.3474426269531,362.24426,371.02923281189
2024-01-09,370.2693176269531,361.15024,371.35481765069255
2024-01-11,378.9794922,362.51984,371.681241914757
2024-01-12,382.7630615234375,364.2151,371.844487693073
2024-01-18,388.0836791992188,371.17703,372.3342382018821
2024-01-22,390.68499755859375,376.18997,372.6607398440024
2024-01-23,393.0398559570313,378.46167,372.82399068532453
2024-01-24,396.6460571289063,380.55725,372.9872415288109
2024-01-26,397.9959106445313,384.78937,373.3137432172242
2024-02-05,399.6906433105469,391.84384,374.29324828343096
2024-02-07,407.96728515625,392.52145,374.61974997217675
2024-02-08,408.0263672,393.4451,374.78300081654965
2024-02-09,414.3717346191406,394.60144,374.94625166092254
2024-02-14,404.2203674316406,398.1597,375.43600419404123
2024-02-15,401.32806396484375,398.20312,375.5992550384141
2024-02-16,398.8602600097656,397.75964,375.762505882787
2024-02-20,397.6065673828125,396.8617,375.9257567271599
2024-02-21,397.0044250488281,395.68408,376.0890075715328
2024-02-22,406.3525695800781,394.40808,376.2522584159057
2024-02-26,402.2955017089844,394.23822,376.5787601046515
2024-02-28,402.47314453125,394.40167,376.9052617933973
2024-02-29,408.3169860839844,394.5003,377.0685126377702
2024-03-01,410.1529846191406,395.17538,377.2317634821431
2024-03-04,409.5805358886719,396.24402,377.395014326516
2024-03-05,397.4684143066406,397.37064,377.5582651708889
2024-03-06,396.9155883789063,397.22714,377.7215160152618
2024-03-07,403.8749694824219,396.428,377.8847668596347
2024-03-08,400.9924621582031,396.0005,378.0480177040076
2024-03-11,399.3143005371094,395.46664,378.2112685483805
2024-03-14,419.7479553222656,396.01056,378.70102108149916
2024-03-15,411.0612182617188,398.03778,378.86427192587206
2024-03-18,411.9496154785156,399.60007,379.02752277024496
2024-03-20,419.7578430175781,402.37918,379.35402445899075
2024-03-21,423.8445434570313,404.08295,379.51727530336365
2024-03-25,417.4183349609375,408.0958,379.84377699210944
